2025-01-05 14:53:13 Thread: [ReadAndMovePool-thread-1] (ID: 48) INFO - File(s) has/have been moved; Remaining unclassified images: 718
2025-01-05 14:54:25 Thread: [ReadAndMovePool-thread-3] (ID: 51) INFO - File(s) has/have been moved; Remaining unclassified images: 715
2025-01-05 14:54:25 Thread: [ReadAndMovePool-thread-2] (ID: 50) INFO - File(s) has/have been moved; Remaining unclassified images: 715
2025-01-05 14:54:25 Thread: [ReadAndMovePool-thread-1] (ID: 49) INFO - File(s) has/have been moved; Remaining unclassified images: 715
2025-01-05 15:09:12 Thread: [ReadAndMovePool-thread-1] (ID: 52) INFO - File(s) has/have been moved; Remaining unclassified images: 714
2025-01-05 15:22:04 Thread: [Thread-0] (ID: 33) INFO - New files added: httpsx.combokuyuumastatus1875740114296725613photo1.jpg; Remaining unclassified images: 715
2025-01-05 15:22:39 Thread: [ReadAndMovePool-thread-1] (ID: 53) INFO - File(s) has/have been moved; Remaining unclassified images: 714
2025-01-05 15:23:48 Thread: [ReadAndMovePool-thread-1] (ID: 54) INFO - File(s) has/have been moved; Remaining unclassified images: 713
2025-01-05 15:25:08 Thread: [ReadAndMovePool-thread-1] (ID: 55) INFO - File(s) has/have been moved; Remaining unclassified images: 712
2025-01-05 15:25:21 Thread: [ReadAndMovePool-thread-2] (ID: 57) INFO - File(s) has/have been moved; Remaining unclassified images: 710
2025-01-05 15:25:21 Thread: [ReadAndMovePool-thread-1] (ID: 56) INFO - File(s) has/have been moved; Remaining unclassified images: 710
2025-01-05 15:33:05 Thread: [Thread-0] (ID: 33) INFO - New files added: 123705900_p0.png; Remaining unclassified images: 711
2025-01-05 15:33:05 Thread: [Thread-0] (ID: 33) INFO - New files added: 123705900_p1.png; Remaining unclassified images: 712
2025-01-05 15:37:46 Thread: [ReadAndMovePool-thread-1] (ID: 48) INFO - File(s) has/have been moved; Remaining unclassified images: 711
2025-01-05 15:38:19 Thread: [ReadAndMovePool-thread-1] (ID: 49) INFO - File(s) has/have been moved; Remaining unclassified images: 710
2025-01-05 15:38:40 Thread: [ReadAndMovePool-thread-1] (ID: 50) INFO - File(s) has/have been moved; Remaining unclassified images: 709
